predictor,response
6.293863272,342
6.970666879,334
7.846535821,353
5.645425501,365
6.082101866,332
6.697497306,356
8.124174093,376
6.78910893,377
5.575228233,325
6.903724519,365
8.32825069,369
5.926508646,360
4.895276947,340
7.466187489,377
7.943672919,383
6.740842503,359
8.705919091,382
5.977978754,326
4.409059097,329
7.554879391,367
6.242271417,352
6.185918585,367
6.905442193,361
4.66875032,318
6.418843898,350
6.302148551,338
8.372576125,376
5.869291091,341
5.83582613,358
6.409791828,344
5.023170158,341
6.649158822,359
8.396845969,378
5.705164576,344
5.009562764,345
7.819324225,368
7.676435572,367
7.893793071,370
5.519482781,335
5.187502774,324
8.974209806,377
6.686480214,363
5.725257599,361
5.414911438,337
5.726434014,348
6.134739679,354
7.056177777,345
7.118376226,382
6.837026718,361
5.450159168,329
7.816356026,378
6.647627919,351
5.906854871,351
8.038702773,389
6.342340823,354
6.948324874,344
6.116993989,356
7.773940439,363
6.524421329,342
7.404816631,386
5.841971313,328
7.300629558,338
6.848232006,357
6.663684622,354
6.656790812,357
6.112337718,338
7.851686802,365
5.075851043,340
6.27570569,347
7.226174377,374
8.367867667,379
6.675608658,351
7.602996521,366
5.780742836,358
6.203936657,344
6.590688198,359
5.305233913,338
6.184880406,330
4.918900911,322
5.698911789,331
7.392139069,345
6.351863299,358
6.432207744,342
5.249784036,329
5.885247466,343
6.797891515,354
6.960804988,348
4.543912759,343
6.269429157,352
7.97834696,349
7.799160871,371
7.006597337,363
4.223569789,322
5.695347053,325
5.338871868,330
4.826557076,342
7.786735536,359
6.613120331,376
6.099886812,343
6.548570556,333
6.412612699,359
6.414970892,358
6.802698941,373
6.590061641,363
7.043074941,357
5.586358921,326
7.52216783,380
5.938155238,349
5.538243081,342
4.791919849,334
6.743229734,356
5.306126646,333
6.666839909,344
9.51740354,395
5.949273694,328
8.080427871,381
6.255824998,343
4.918550454,333
6.461977251,350
5.356953696,336
8.836243746,376
5.447894278,339
7.921074079,358
8.591349524,371
6.238743049,348
5.565152637,338
5.727285115,365
5.87893929,339
4.53880303,330
5.117086103,333
5.513442453,350
5.961330062,341
6.182182785,360
8.010802801,354
6.867777274,371
5.53939623,337
5.705732314,341
7.045858088,356
6.662540924,351
6.699111053,351
6.592382064,362
6.270357154,344
5.071043137,337
6.561216163,339
6.873299375,364
7.242787575,343
6.067731241,326
7.363137664,347
7.743681798,357
6.828326063,361
5.91116224,348
6.344898358,332
6.769787844,369
7.851709558,363
5.518567471,336
4.752656823,332
6.817842174,371
4.653582483,329
5.335697519,342
7.218986208,359
7.447737204,382
5.501065574,359
5.112589248,323
6.331566609,351
6.93092644,349
6.08592224,330
5.908543183,342
7.48085533,373
6.666977097,355
5.785764786,363
7.024621311,364
7.691108587,387
3.391368414,332
6.382272513,341
8.263961649,390
5.045804284,327
6.718594812,349
5.706179829,337
8.134952982,354
5.624222096,353
7.525880565,361
6.658070506,346
7.523183539,368
5.388891609,341
7.137454122,370
6.429481279,355
6.815360658,379
6.268856551,355
5.723528613,322
6.240901366,350
7.07071531,358
7.788033853,366
5.553259919,345
4.820656896,335
6.206113452,358
7.099863322,353
7.242962655,365
7.535072513,358
7.516107165,378
5.586954066,339
6.445270111,346
7.210793216,359
6.544485253,342
6.166920909,344
6.732744077,371
6.72421772,368
5.731714172,356
4.298502759,326
7.584892602,369
6.87573282,369
5.972247795,363
6.831777604,365
5.576512864,341
7.838459073,379
6.455433204,337
7.5016246,358
5.469534878,347
6.594080704,365
5.287418483,351
5.904499473,339
5.621213663,359
6.128423935,357
5.652399439,324
6.481817539,346
7.078558517,349
4.609412428,329
6.835878521,367
6.783169415,363
4.462498694,308
6.212240858,369
7.431759112,346
6.004229923,348
7.051939178,355
5.821861672,333
5.760051784,355
6.990568601,355
6.31864439,359
5.629610672,338
5.875367459,332
6.466573316,368
7.605344658,373
6.934255209,370
7.171127881,362
7.684654277,374
5.677908168,346
7.204040619,366
6.862134371,340
6.12762915,352
7.888234603,357
7.383492128,361
7.6804743,362
7.387684765,356
7.219715425,344
6.351270542,358
7.894988773,368
8.436354265,382
5.388662525,336
7.406807338,363
6.846476022,350
5.10002684,332
4.286908992,340
5.443805399,358
8.527275599,368
4.81087296,340
7.897030464,389
5.287675358,343
5.452204015,332
6.334349506,343
6.870655168,365
6.140952412,367
6.286757973,358
5.499624246,343
6.347994527,336
6.804384916,368
7.576812459,375
7.274200735,369
7.373838697,368
4.27169063,326
6.880882485,359
8.23646284,370
6.814881651,350
6.427327456,342
5.210601582,340
4.695042519,324
6.645177388,351
7.53402261,383
5.824632923,337
8.914617213,401
5.012818295,322
6.524250104,361
7.082809636,375
5.739136384,339
5.214697468,333
4.810668276,333
4.605910048,330
8.388220101,367
6.699767064,354
5.406888874,345
5.556061317,346
6.56643493,367
6.971703055,362
5.780149144,361
6.53566284,344
5.16147286,329
8.871690877,384
5.465594777,356
7.155057073,375
4.629342791,304
4.994049179,324
7.744767619,369
6.221232311,355
6.987828505,365
4.857345558,338
6.212634709,357
5.831699507,344
7.117983886,362
5.982349313,365
5.284423416,337
6.559007435,349
7.22238044,368
5.336363951,336
8.068904041,374
5.941837366,349
8.176564501,389
4.968587164,328
5.292505281,323
7.494491293,372
6.373258468,356
5.216576552,331
6.097572961,335
5.101517092,355
7.082663269,368
5.18518748,356
7.376515409,379
8.043314508,358
5.052320121,320
4.150754071,312
5.392319141,338
6.189102657,358
7.329999901,351
7.134726661,365
7.103633125,349
9.030223728,376
6.274840675,341
6.892075061,366
6.200032865,332
4.623803152,312
6.790396333,352
7.404328188,361
4.318837302,304
5.940607531,339
5.936353572,352
6.70533528,367
4.699901636,322
7.731936713,364
6.453252945,366
6.749396592,375
6.575913019,357
6.122501228,343
6.20392341,344
5.663443857,334
7.48968931,363
6.524041629,357
7.252759546,364
7.592710783,366
6.549741983,352
6.800464004,361
5.911811901,349
6.736025521,347
8.264484712,383
7.69191698,366
6.436581611,347
5.649847945,332
6.383072473,370
6.01893732,353
5.334334927,335
7.17737251,360
6.843625392,360
7.172786486,377
8.469436697,354
6.175039599,347
5.931086646,357
5.686450357,344
6.242967148,340
5.52143845,334
6.863362547,370
5.193585195,338
7.670780009,378
6.840571617,378
8.049101271,384
5.530257317,357
7.851432969,376
8.812379468,373
7.055970315,341
7.799749271,367
4.798400662,331
5.229238161,338
6.59590066,358
7.187736606,377
5.571867634,338
5.008947249,326
6.639322345,363
6.589489304,352
4.522836717,338
6.420818896,363
6.170523639,349
6.316892882,349
5.684686179,334
5.677040263,331
6.117161498,345
5.988695704,361
6.37640682,348
5.2737213,329
5.689454126,351
5.776712596,356
7.444764527,358
7.366231658,363
6.587208438,358
6.746821044,375
6.5616206,352
5.363680398,338
7.026739778,374
6.834275901,360
6.702998166,348
6.57397367,356
5.582431373,341
7.691948993,358
8.26821693,369
7.191595525,368
8.122896865,367
6.188319624,334
6.101486003,341
6.349891363,353
6.895727441,360
7.670343562,381
5.624981157,331
6.896379307,377
5.160129842,330
5.658591787,351
7.007087277,371
5.286109852,334
6.847661249,350
5.183821412,341
7.401261951,368
6.246428722,335
5.927262053,355
5.046975065,332
4.079206886,331
6.856525035,366
6.246940331,335
5.313401812,331
6.545588607,339
6.634584396,358
6.933935743,346
8.069524689,371
5.478981836,345
6.915790098,349
7.77623677,368
5.35674799,331
4.760226525,345
5.700058343,350
6.507687011,328
7.609220923,372
5.82414183,330
6.739793486,359
6.106913667,372
5.979590849,352
7.188121596,362
7.354489955,370
5.572537728,321
6.547323714,352
5.492725558,343
6.746221851,342
6.574834964,327
6.760265658,358
7.690178031,359
5.707880104,353
8.523848416,364
6.237937413,349
5.026500477,319
5.274021838,320
8.131550191,404
7.136643055,361
5.025491058,340
6.98682948,366
7.096177377,373
6.766847648,366
5.250410697,331
5.420937939,338
7.79248413,377
4.900707889,338
7.96915827,382
5.589441572,333
7.872822861,369
5.389155252,350
7.188016227,363
6.345493409,337
6.644783897,341
5.79643232,357
6.33922149,356
7.445196468,359
8.339186765,364
5.687148435,333
7.104337749,361
6.348163195,368
6.412173046,344
6.356625403,342
5.871563034,350
6.264548783,352
4.26787795,332
6.696565653,366
8.455819426,374
5.999366498,374
6.510511276,364
7.438943339,360
5.963179487,367
7.75329895,363
5.868010621,344
6.013526305,341
6.24326425,322
5.723254484,351
6.470670876,348
6.843629106,358
5.653270472,329
8.149445936,373
7.322233819,366
6.81283791,364
6.500482024,361
5.487304921,344
7.415917565,355
6.780606229,359
5.574668213,354
6.914965667,383
6.72374963,348
4.922462558,330
6.256616965,343
6.389076504,370
7.669326865,376
5.353654294,358
5.464045123,341
5.735917154,332
6.15807399,358
7.522330739,370
6.107015374,365
7.246817396,356
5.379970524,345
5.269659972,329
7.418795471,355
6.656356041,351
7.856237954,377
6.733953233,379
5.180979601,328
6.627648567,361
7.849805823,375
7.094304629,360
7.380390196,351
6.816978816,366
5.04911455,341
5.079796469,339
6.533548538,342
4.905255171,344
5.808036758,348
6.332306266,334
5.168507069,323
6.605110946,351
6.575860148,355
7.173330354,352
5.354829934,321
7.73767474,379
6.34143574,340
5.870214262,350
6.717935457,366
6.444031741,347
6.306595691,366
8.364761346,378
5.716627147,336
5.837031462,339
5.566441861,338
8.138561336,382
7.360443628,374
4.416714339,330
6.520775161,360
6.635145475,352
6.540457864,367
7.012173834,376
5.04165846,318
6.161305452,333
6.998265307,352
6.406150076,347
4.547703122,329
6.048847854,338
8.728842822,390
6.1920993,355
4.993966063,324
5.39852558,340
5.713670566,338
6.514298707,352
5.594065703,347
5.306728027,323
7.134218355,365
6.042834559,355
7.911549863,356
6.280837953,337
7.171697386,364
5.508467229,333
5.794032767,350
6.479231391,364
5.09849179,323
5.8047094,362
6.922702114,364
7.988262646,373
7.105157628,368
6.790307555,361
5.772516188,337
7.593211244,364
7.4581512,373
7.241756782,371
5.378162531,327
5.847261415,340
4.488299609,314
6.510367349,349
5.87651544,342
6.852176484,366
6.405575581,363
6.099777802,354
5.56369563,336
7.925312956,377
6.652344998,349
7.438193335,383
6.290480798,337
7.830373876,374
6.772075959,363
6.405517648,332
6.59914863,338
6.571801466,367
7.725888916,367
7.02198777,356
6.021896308,353
7.598661607,386
6.522783419,352
6.355383247,359
5.927637331,347
7.226520726,362
5.239534909,333
5.358177004,346
6.937330777,356
5.556634622,341
5.617416501,342
6.485294325,358
6.385242694,337
7.491000415,366
6.156157201,365
6.788484196,358
7.66410124,374
6.0207977,345
6.321623201,359
5.333528556,339
5.515960529,341
7.25342925,374
5.688943448,338
6.982002824,354
5.983520727,369
4.959675651,319
6.645996886,353
6.491224454,352
7.130065053,343
7.644865711,365
5.825741224,334
5.238794018,351
5.494956656,342
6.354106312,348
7.287591521,363
4.86959833,326
7.974248248,352
4.735786208,322
7.224868603,382
7.274385381,359
6.960526528,362
6.819245275,355
5.523321615,357
5.698821995,362
6.384408231,341
7.711334794,361
5.569566886,320
6.551158053,361
8.489024631,373
6.917978369,367
5.541943198,320
6.913022597,354
3.727872357,331
6.990008851,371
4.407592093,316
7.654306877,364
7.076839033,350
6.109558255,344
6.872136802,349
8.123470015,370
7.313818439,358
6.84141337,379
5.469587327,350
6.335439655,341
6.514275268,359
7.21803847,367
5.415809096,320
6.972523332,355
7.658692615,375
6.870166513,346
6.887330176,369
5.217287589,334
6.891012819,354
5.86747482,354
6.382082075,351
5.057303416,324
7.221230744,355
5.851977304,346
5.439905301,337
7.558510149,360
6.824609532,362
5.552615372,330
5.974769991,345
7.487241845,358
5.58067542,334
6.782241955,346
7.3828115,361
7.70490254,363
5.616038994,333
7.055203024,357
4.448132477,320
5.184255606,335
6.525295572,354
5.707324313,340
5.622000671,350
7.196392332,374
5.297461595,347
6.646184985,349
7.035815606,358
6.537040502,363
6.901650233,371
7.745871516,352
5.820204931,356
6.833902839,363
5.814302637,339
6.626560762,362
6.410746009,360
7.446340667,376
6.297242881,348
6.45785663,350
6.215386025,356
7.065628199,355
3.621014984,316
6.118693207,347
6.785138102,352
6.675337919,350
7.051074122,378
5.055764744,327
6.726282545,364
7.502082444,376
4.862680531,339
6.615361442,363
5.15067901,327
6.775903242,349
7.254098607,385
5.421474763,331
6.949941857,359
6.706857116,356
5.034786063,330
6.480419647,361
7.652317669,382
4.6863113,317
6.994181158,370
6.835372839,340
7.619485141,365
7.129194051,354
5.072185439,343
4.477922486,332
6.325203315,343
7.122519212,355
6.177131504,347
7.273113041,365
5.452538634,350
6.028031288,350
6.700417489,345
6.566133048,360
5.59896606,333
6.597551566,357
8.246464825,378
7.228154655,352
7.310194346,364
6.681322748,375
6.043098012,335
6.184505107,343
7.774781175,364
5.428722761,349
7.399092493,358
4.308571345,330
6.532223834,345
5.703692719,338
6.706731584,369
6.091319917,338
7.325001953,368
7.420430179,356
7.390629048,375
5.407921717,343
6.667430274,346
7.758827218,362
6.846242201,363
5.781753947,335
5.177453938,319
7.428113179,356
6.322410383,362
5.645959342,335
7.390119731,364
8.580809112,364
6.916829704,367
6.55046194,360
5.191844167,313
7.526484744,364
7.229219748,357
7.955246786,354
5.555736402,344
5.6213042,352
6.131697534,347
6.796762609,352
6.805216638,335
8.00481146,385
6.965864162,366
6.907329244,365
7.611917629,363
6.497161541,341
7.944056739,371
6.585967437,336
4.260022966,321
4.835820795,332
5.685927213,334
5.5548556,353
7.105062703,371
6.798673309,360
7.174986008,348
6.901212123,353
7.040127073,347
8.79815636,379
5.750024743,344
6.499342866,351
6.626417803,360
6.63472628,374
4.689726067,349
5.107708406,333
5.516759637,338
6.717101075,345
6.272510083,358
7.298158511,352
6.699351781,353
5.770987483,346
5.633282979,356
6.37677413,350
4.196490785,300
3.932434884,315
6.813884386,352
5.398160741,334
7.592361198,368
5.488183769,338
7.726192234,365
5.503397106,333
6.29811506,338
5.97812841,346
5.959046367,340
6.101425258,358
6.858256044,365
5.475273527,328
6.005129214,349
5.995224416,334
6.253887811,354
5.653161952,340
6.206840272,346
4.365197581,329
7.380594431,367
5.16662202,332
8.715732673,387
7.298603924,367
5.029565296,350
6.630572535,344
5.120640911,345
8.678169533,373
7.249756925,367
5.661347279,335
6.24355328,342
5.506812931,337
6.954039365,373
6.347182443,354
6.661342803,355
6.441913113,346
6.953524182,367
7.747294301,374
7.456203326,363
6.241991233,360
6.066381488,345
5.667264817,328
6.180821447,348
7.042143115,365
7.426481839,347
6.754893952,354
5.689442755,345
6.505546665,346
4.979829629,342
4.801512281,331
7.911531537,362
6.073951428,340
7.014811924,372
6.205706886,352
6.210818535,353
5.456725978,341
4.981404345,343
5.427620779,324
7.577279436,375
7.395246181,349
3.780142174,310
6.433362257,350
6.448141599,348
7.273853506,362
5.729711669,335
7.31212695,358
6.866000718,353
5.957539733,344
6.925934475,370
5.757413864,329
6.91311179,375
7.707795841,362
7.172835584,368
6.663105161,350
7.182302925,378
7.773547825,376
6.471394948,356
6.903959417,361
6.228998042,330
7.953193956,379
7.491866995,370
7.259123863,372
6.509362077,345
7.026443566,348
6.209058372,355
6.842222972,359
5.840639206,344
7.135294176,364
5.670643773,353
6.746543101,347
7.24108054,369
7.684950351,373
5.828510808,329
7.019435185,357
6.286589679,363
4.410230996,334
4.716408458,327
6.482339379,361
5.439671354,346
5.264964803,349
7.149244407,368
5.830491129,341
3.831700135,323
7.852202702,366
6.110117232,347
5.620028763,362
6.528377508,357
6.168790851,361
6.491571642,366
6.491789717,362
7.938602104,376
7.457428969,371
6.737014227,373
6.594274662,357
6.741376797,349
5.578219555,336
5.871498252,346
5.157229619,338
6.858217378,360
5.706338724,359
5.896677069,356
6.961760965,350
6.635601571,350
6.031068131,345
4.69970922,320
7.243146673,361
7.261848142,374
6.890144835,371
6.310367062,334
5.401294149,327
8.547640461,383
6.685715798,361
6.837725744,365
6.100727533,352
7.13485746,357
8.298742601,383
6.982097835,368
7.652761552,350
7.892664503,364
6.131007221,364
6.437702135,360
5.556893375,341
5.598033067,326
7.451424405,368
9.960768967,390
